Date,Type,Name,Start,End,Duration
7/12/14,move,walking,2014-07-12T12:51:47+02:00,2014-07-12T13:05:08+02:00,801
7/12/14,place,Place in Herrngarten,2014-07-12T13:05:08+02:00,2014-07-12T13:28:06+02:00,1378
7/12/14,move,walking,2014-07-12T13:28:06+02:00,2014-07-12T13:38:54+02:00,648
7/12/14,place,Place in TU Darmstadt / S1,2014-07-12T13:38:53+02:00,2014-07-12T15:20:55+02:00,6122
7/12/14,move,walking,2014-07-12T15:20:55+02:00,2014-07-12T15:32:03+02:00,668
7/12/14,move,transport,2014-07-12T15:32:03+02:00,2014-07-12T15:38:31+02:00,388
7/12/14,move,walking,2014-07-12T15:38:31+02:00,2014-07-12T15:43:16+02:00,285
7/12/14,place,Place in Darmstadt,2014-07-12T15:43:16+02:00,2014-07-12T15:51:06+02:00,470
7/12/14,move,walking,2014-07-12T15:51:06+02:00,2014-07-12T15:53:51+02:00,165
7/12/14,place,Place in Darmstadt,2014-07-12T15:53:51+02:00,2014-07-12T15:54:20+02:00,29
7/12/14,place,Place in Darmstadt,2014-07-12T16:24:29+02:00,2014-07-13T00:00:00+02:00,27331
7/13/14,place,Place in Darmstadt,2014-07-13T00:00:00+02:00,2014-07-13T20:30:49+02:00,73849
7/13/14,move,walking,2014-07-13T20:30:49+02:00,2014-07-13T20:34:13+02:00,204
7/13/14,place,Place in Darmstadt,2014-07-13T20:34:13+02:00,2014-07-13T20:54:55+02:00,1242
7/13/14,move,walking,2014-07-13T20:54:55+02:00,2014-07-13T20:57:29+02:00,154
7/13/14,place,Place in Darmstadt,2014-07-13T20:57:29+02:00,2014-07-13T21:43:29+02:00,2760
7/13/14,move,walking,2014-07-13T21:43:29+02:00,2014-07-13T22:03:26+02:00,1197
7/13/14,place,Place in Darmstadt,2014-07-13T22:03:25+02:00,2014-07-13T22:58:50+02:00,3325
7/13/14,move,walking,2014-07-13T22:58:50+02:00,2014-07-13T23:03:06+02:00,256
7/13/14,place,Place in Darmstadt,2014-07-13T23:03:05+02:00,2014-07-13T23:38:53+02:00,2148
7/13/14,move,walking,2014-07-13T23:38:53+02:00,2014-07-13T23:46:06+02:00,433
7/13/14,place,Place in Darmstadt,2014-07-13T23:46:07+02:00,2014-07-14T00:00:00+02:00,833
7/14/14,place,Place in Darmstadt,2014-07-14T00:00:00+02:00,2014-07-14T00:15:11+02:00,911
7/14/14,move,walking,2014-07-14T00:15:11+02:00,2014-07-14T00:27:53+02:00,762
7/14/14,move,transport,2014-07-14T00:27:52+02:00,2014-07-14T00:36:12+02:00,500
7/14/14,move,walking,2014-07-14T00:36:12+02:00,2014-07-14T00:40:31+02:00,259
7/14/14,place,Place in Darmstadt,2014-07-14T00:40:31+02:00,2014-07-14T11:14:23+02:00,38032
7/14/14,move,walking,2014-07-14T11:14:23+02:00,2014-07-14T11:20:21+02:00,358
7/14/14,move,transport,2014-07-14T11:20:21+02:00,2014-07-14T11:27:24+02:00,423
7/14/14,move,walking,2014-07-14T11:27:24+02:00,2014-07-14T11:33:30+02:00,366
7/14/14,place,Place in TU Darmstadt,2014-07-14T11:33:30+02:00,2014-07-14T13:16:30+02:00,6180
7/14/14,move,walking,2014-07-14T13:16:30+02:00,2014-07-14T13:25:04+02:00,514
7/14/14,move,transport,2014-07-14T13:25:03+02:00,2014-07-14T13:27:59+02:00,176
7/14/14,move,walking,2014-07-14T13:28:00+02:00,2014-07-14T13:34:41+02:00,401
7/14/14,place,Place in Darmstadt,2014-07-14T13:34:41+02:00,2014-07-15T00:00:00+02:00,37519
7/15/14,place,Place in Darmstadt,2014-07-15T00:00:00+02:00,2014-07-15T08:33:54+02:00,30834
7/15/14,move,walking,2014-07-15T08:33:54+02:00,2014-07-15T08:36:23+02:00,149
7/15/14,move,transport,2014-07-15T08:36:23+02:00,2014-07-15T08:41:29+02:00,306
7/15/14,move,walking,2014-07-15T08:41:29+02:00,2014-07-15T08:49:32+02:00,483
7/15/14,place,Place in TU Darmstadt / S1,2014-07-15T08:49:32+02:00,2014-07-15T11:07:45+02:00,8293
7/15/14,move,walking,2014-07-15T11:07:45+02:00,2014-07-15T11:14:30+02:00,405
7/15/14,place,Place in TU Darmstadt / S2,2014-07-15T11:14:29+02:00,2014-07-15T12:04:31+02:00,3002
7/15/14,move,walking,2014-07-15T12:04:31+02:00,2014-07-15T12:05:41+02:00,70
7/15/14,place,Place in TU Darmstadt / S2,2014-07-15T12:05:40+02:00,2014-07-15T12:11:26+02:00,346
7/15/14,move,walking,2014-07-15T12:11:26+02:00,2014-07-15T12:16:49+02:00,323
7/15/14,place,Place in TU Darmstadt / S1,2014-07-15T12:16:49+02:00,2014-07-15T15:17:24+02:00,10835
7/15/14,move,walking,2014-07-15T15:17:24+02:00,2014-07-15T15:28:10+02:00,646
7/15/14,place,Place in TU Darmstadt / S2,2014-07-15T15:28:09+02:00,2014-07-15T17:23:04+02:00,6895
7/15/14,move,walking,2014-07-15T17:23:04+02:00,2014-07-15T17:34:10+02:00,666
7/15/14,place,Place in TU Darmstadt / S1,2014-07-15T17:34:10+02:00,2014-07-15T19:23:00+02:00,6530
7/15/14,move,walking,2014-07-15T19:23:00+02:00,2014-07-15T19:29:12+02:00,372
7/15/14,move,transport,2014-07-15T19:29:12+02:00,2014-07-15T19:33:15+02:00,243
